,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/10356741_bolestein,Bolestein ,1081 CP,1450.0,65,1,Gemeubileerd,2020-07-01,2020-06-15 12:24:06.530763
https://www.woonnet.nl/huurwoning/amsterdam/10356847_lutmastraat,Lutmastraat ,1072 JJ,1850.0,75,2,Gemeubileerd,2020-07-01,2020-06-15 12:24:06.874181
https://www.woonnet.nl/huurwoning/amsterdam/6840_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 KB,625.0,85,4,Gestoffeerd,01-07-2020,2020-06-15 12:24:06.874940
https://www.woonnet.nl/huurwoning/amsterdam/10357019_rapenburg,Rapenburg ,1011 TT,2250.0,120,2,Beschikbaar per: 2020-08-03,gratis!</span>,2020-06-15 12:24:07.547175
https://www.woonnet.nl/huurwoning/amsterdam/10352449_gietersstraat,Gietersstraat ,1015 HB,3000.0,100,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:07.788564
https://www.woonnet.nl/huurwoning/amsterdam/8602_wagenaarstraat,Wagenaarstraat ,1093 CV,188.0,45,1,Gestoffeerd,beschikbaar,2020-06-15 12:24:07.789306
https://www.woonnet.nl/huurwoning/amsterdam/10348436_arcellastraat,Arcellastraat ,1035 VM,1600.0,75,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:08.393116
https://www.woonnet.nl/huurwoning/amsterdam/10349688_taksteeg,Taksteeg ,1012 PB,1650.0,74,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:09.007493
https://www.woonnet.nl/huurwoning/amsterdam/6986_rozengracht,Rozengracht ,1016 LV,1250.0,40,1,Gestoffeerd,beschikbaar,2020-06-15 12:24:09.008225
https://www.woonnet.nl/huurwoning/amsterdam/10350312_nieuwezijds-voorburgwal,Nieuwezijds Voorburgwal ,1012 MJ,2375.0,96,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:09.314906
https://www.woonnet.nl/huurwoning/amsterdam/10343922_laurierstraat,Laurierstraat ,1016 PG,1900.0,85,2,Beschikbaar per: 2020-07-03,gratis!</span>,2020-06-15 12:24:09.621878
https://www.woonnet.nl/huurwoning/amsterdam/2303_tobias-mc-asserstraat,Tobias M.C. Asserstraat ,1063 NC,691.0,16,1,Gemeubileerd,01-07-2020,2020-06-15 12:24:09.622620
https://www.woonnet.nl/huurwoning/amsterdam/5460217_hendrik-godfroidhof,Hendrik Godfroidhof ,1106 WS,1600.0,80,2,Gemeubileerd,beschikbaar,2020-06-15 12:24:10.858856
https://www.woonnet.nl/huurwoning/amsterdam/9496_bottelarijstraat,Bottelarijstraat ,1019 VE,1025.0,61,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:10.859579
https://www.woonnet.nl/huurwoning/amsterdam/8792_herengracht,Herengracht ,1017 CH,1650.0,57,2,Gestoffeerd,01-07-2020,2020-06-15 12:24:10.860295
